ZIP,population,people/sq.mile
98174,180,50978.44
98121,8558,17894.56
98104,13095,17156.75
98101,9010,16603.32
98102,19424,14594.02
98122,28790,12332.03
98105,38963,9393.63
98107,18516,8571.51
98103,41971,8324.30
98119,19662,8230.40
98109,16018,8016.31
98117,29667,7567.61
98144,24913,7365.11
98116,20826,6950.36
98118,40791,6697.19
98115,43567,6603.13
98112,20480,6578.03
98125,34994,6476.98
98136,14138,6132.32
98133,42896,6041.66
98146,25574,5745.23
98126,18906,5564.85
98199,19156,4551.16
98198,33561,4488.33
98106,23317,4434.17
98155,33914,4395.68
98178,21860,4386.27
98166,20302,3343.00
98168,30198,3295.07
98177,18920,3188.91
98148,9519,2828.62
98108,21223,2763.51
98188,22583,2252.39
98154,1,283.15
98164,1,282.59
98134,636,190.66
